Wall time,Step,Value
1628517617.0751495,0,0.15288640558719635
1628517647.4026248,1,0.10317295789718628
1628517684.74752,2,0.07177463918924332
1628517723.5721157,3,0.05690460279583931
1628517762.9310431,4,0.049144018441438675
1628517802.4594393,5,0.04567611217498779
1628517841.6612115,6,0.04343771934509277
1628517880.7978444,7,0.041884660720825195
1628517919.9308245,8,0.04062942788004875
1628517959.016518,9,0.039312705397605896
1628517998.1812565,10,0.03892211616039276
1628518037.7682018,11,0.03799400106072426
1628518077.7612114,12,0.03744897618889809
1628518117.0375893,13,0.03718024119734764
1628518156.441984,14,0.03663437068462372
1628518196.5491576,15,0.03649865835905075
1628518235.658823,16,0.0362241305410862
1628518274.9727318,17,0.035990163683891296
1628518314.997407,18,0.03566274419426918
1628518354.944378,19,0.035551317036151886
1628518394.0431814,20,0.0351472869515419
1628518432.972285,21,0.035353485494852066
1628518472.6533387,22,0.035269591957330704
1628518512.5635285,23,0.03478770703077316
1628518552.0039468,24,0.034893907606601715
1628518592.208097,25,0.03456253558397293
1628518631.5947692,26,0.03453679755330086
1628518671.529223,27,0.034273747354745865
1628518710.9394917,28,0.03416522592306137
1628518750.1403847,29,0.034035973250865936
1628518789.422413,30,0.03387650474905968
1628518828.8075206,31,0.03394045680761337
1628518868.3961418,32,0.033528879284858704
1628518907.7415965,33,0.033637478947639465
1628518947.0347981,34,0.033166512846946716
1628518986.5485942,35,0.03319604694843292
1628519025.930003,36,0.03293739631772041
1628519065.4326663,37,0.032979756593704224
1628519105.306626,38,0.03261224180459976
1628519144.8942828,39,0.032537177205085754
1628519184.505471,40,0.032346684485673904
1628519223.883699,41,0.03237017244100571
1628519263.4350736,42,0.03227221965789795
1628519303.3859289,43,0.031875044107437134
1628519342.7571466,44,0.03183194622397423
1628519382.748605,45,0.03144163638353348
1628519422.0227134,46,0.03144596889615059
1628519462.0911732,47,0.031308647245168686
1628519501.3857067,48,0.031199654564261436
1628519540.9497015,49,0.030895017087459564
1628519580.4469938,50,0.030736157670617104
1628519620.1131167,51,0.030481979250907898
1628519659.4480674,52,0.030793095007538795
1628519699.3095226,53,0.030634691938757896
1628519739.3040018,54,0.030290551483631134
1628519778.7678053,55,0.029927151277661324
1628519818.6685913,56,0.029943162575364113
1628519858.386767,57,0.030101852491497993
1628519898.049132,58,0.029757000505924225
1628519938.0699947,59,0.029903655871748924
1628519978.1211784,60,0.02964828722178936
1628520017.7499018,61,0.029698142781853676
1628520057.2855618,62,0.029386138543486595
1628520097.5251617,63,0.02924593910574913
1628520137.2655373,64,0.029176607728004456
1628520177.013794,65,0.029231425374746323
1628520216.408975,66,0.029144437983632088
1628520255.905852,67,0.029268164187669754
1628520295.0938723,68,0.028866101056337357
1628520334.6720603,69,0.02861640229821205
1628520373.9587083,70,0.028956392779946327
1628520413.6966612,71,0.028459688648581505
1628520453.0095592,72,0.02853959985077381
1628520493.1485105,73,0.02835586667060852
1628520532.3868337,74,0.02843654528260231
1628520571.4045768,75,0.028315220028162003
1628520610.526858,76,0.028270002454519272
1628520649.7679949,77,0.028055356815457344
1628520688.9933662,78,0.027927711606025696
1628520728.6619837,79,0.028030019253492355
1628520767.8199077,80,0.027741119265556335
1628520807.086038,81,0.027599535882472992
1628520846.3237286,82,0.02773698978126049
1628520885.481424,83,0.027495993301272392
1628520925.001257,84,0.027551550418138504
1628520964.3061962,85,0.02771463245153427
1628521003.4768717,86,0.027548862621188164
1628521043.0858302,87,0.027425596490502357
1628521083.0638046,88,0.027425436303019524
1628521122.4376576,89,0.02743179351091385
1628521161.6983442,90,0.027760369703173637
1628521201.032121,91,0.027251139283180237
1628521240.8231049,92,0.027168791741132736
1628521280.3895106,93,0.02700788900256157
1628521319.7795033,94,0.02718222886323929
1628521359.646162,95,0.027026619762182236
